Event type,Event data,IP Address,Source Module,Scope Distance,Event Tags
SCAN,grievous_shawn (SCAN:89e47205ad6ce5633dbd8cafa89e716a83b85d41),,TARGET,0,in-scope
DNS_NAME,trickest.io,"3.75.48.100,35.158.162.39,3.125.5.102",TARGET,0,"a-record,cloud-amazon,domain,in-scope,ns-record,resolved,soa-record,target,txt-record"
ORG_STUB,trickest,,speculate,1,distance-1
DNS_NAME,docs.trickest.io,"104.18.40.47,2606:4700:4400::ac40:93d1,2606:4700:4400::6812:282f,172.64.147.209",leakix,0,"a-record,aaaa-record,cdn-cloudflare,cname-record,in-scope,resolved,subdomain"
TECHNOLOGY,"{'host': 'trickest.io', 'technology': 'cpe:/o:microsoft:windows'}","3.75.48.100,35.158.162.39,3.125.5.102",internetdb,0,"cloud-amazon,in-scope"
OPEN_TCP_PORT,trickest.io:80,"3.75.48.100,35.158.162.39,3.125.5.102",internetdb,0,"cloud-amazon,in-scope"
TECHNOLOGY,"{'host': 'trickest.io', 'technology': 'cpe:/a:microsoft:internet_information_services'}","3.75.48.100,35.158.162.39,3.125.5.102",internetdb,0,"cloud-amazon,in-scope"
OPEN_TCP_PORT,trickest.io:443,"3.75.48.100,35.158.162.39,3.125.5.102",internetdb,0,"cloud-amazon,in-scope"
DNS_NAME,stage.trickest.io,,columbus,0,"in-scope,ns-record,resolved,soa-record,subdomain"
DNS_NAME,hive-api.trickest.io,"3.75.48.100,35.158.162.39,3.125.5.102",wayback,0,"a-record,cloud-amazon,in-scope,resolved,subdomain,txt-record"
ASN,"{'asn': '16509', 'subnet': '35.156.0.0/14', 'name': 'AMAZON-02', 'description': 'Amazon.com, Inc.', 'country': 'US'}",,asn,2,distance-2
DNS_NAME,login.windows.net,"20.190.177.21,2603:1026:3000:108::7,2603:1026:3000:110::4,2603:1026:3000:108::3,20.190.177.23,2603:1026:3000:118::1,2603:1026:3000:110::5,2603:1026:3000:108::4,20.190.177.148,20.190.177.83,20.190.177.85,20.190.177.149,2603:1026:3000:110::3,20.190.177.22,20.190.177.82,2603:1026:3000:108::6",oauth->host,1,"a-record,aaaa-record,affiliate,cloud-azure,distance-1,resolved,subdomain"
ASN,"{'asn': '16509', 'subnet': '3.124.0.0/14', 'name': 'AMAZON-02', 'description': 'Amazon.com, Inc.', 'country': 'US'}",,asn,2,distance-2
ASN,"{'asn': '13335', 'subnet': '104.18.40.0/24', 'name': 'CLOUDFLARENET', 'description': 'Cloudflare, Inc.', 'country': 'US'}",,asn,2,distance-2
ASN,"{'asn': '13335', 'subnet': '172.64.147.0/24', 'name': 'CLOUDFLARENET', 'description': 'Cloudflare, Inc.', 'country': 'US'}",,asn,2,distance-2
OPEN_TCP_PORT,docs.trickest.io:2053,"104.18.40.47,2606:4700:4400::ac40:93d1,2606:4700:4400::6812:282f,172.64.147.209",internetdb,0,"cdn-cloudflare,in-scope"
OPEN_TCP_PORT,docs.trickest.io:2087,"104.18.40.47,2606:4700:4400::ac40:93d1,2606:4700:4400::6812:282f,172.64.147.209",internetdb,0,"cdn-cloudflare,in-scope"
ASN,"{'asn': '13335', 'subnet': '104.18.32.0/19', 'name': 'CLOUDFLARENET', 'description': 'Cloudflare, Inc.', 'country': 'US'}",,asn,2,distance-2
OPEN_TCP_PORT,docs.trickest.io:8443,"104.18.40.47,2606:4700:4400::ac40:93d1,2606:4700:4400::6812:282f,172.64.147.209",internetdb,0,"cdn-cloudflare,in-scope"
OPEN_TCP_PORT,docs.trickest.io:2083,"104.18.40.47,2606:4700:4400::ac40:93d1,2606:4700:4400::6812:282f,172.64.147.209",internetdb,0,"cdn-cloudflare,in-scope"
OPEN_TCP_PORT,docs.trickest.io:2082,"104.18.40.47,2606:4700:4400::ac40:93d1,2606:4700:4400::6812:282f,172.64.147.209",internetdb,0,"cdn-cloudflare,in-scope"
OPEN_TCP_PORT,docs.trickest.io:80,"104.18.40.47,2606:4700:4400::ac40:93d1,2606:4700:4400::6812:282f,172.64.147.209",internetdb,0,"cdn-cloudflare,in-scope"
ASN,"{'asn': '13335', 'subnet': '172.64.0.0/16', 'name': 'CLOUDFLARENET', 'description': 'Cloudflare, Inc.', 'country': 'US'}",,asn,2,distance-2
OPEN_TCP_PORT,docs.trickest.io:8880,"104.18.40.47,2606:4700:4400::ac40:93d1,2606:4700:4400::6812:282f,172.64.147.209",internetdb,0,"cdn-cloudflare,in-scope"
ASN,"{'asn': '13335', 'subnet': '2606:4700:4400::/48', 'name': 'CLOUDFLARENET', 'description': 'Cloudflare, Inc.', 'country': 'US'}",,asn,2,distance-2
DNS_NAME,staging.trickest.io,"10.60.43.196,10.60.22.164,10.60.55.198",columbus,0,"a-error,a-record,aaaa-error,cname-error,in-scope,mx-error,ns-error,ns-record,private-ip,resolved,soa-error,soa-record,subdomain,txt-record"
OPEN_TCP_PORT,docs.trickest.io:2096,"104.18.40.47,2606:4700:4400::ac40:93d1,2606:4700:4400::6812:282f,172.64.147.209",internetdb,0,"cdn-cloudflare,in-scope"
ASN,"{'asn': '16509', 'subnet': '3.64.0.0/12', 'name': 'AMAZON-02', 'description': 'Amazon.com, Inc.', 'country': 'US'}",,asn,2,distance-2
URL,https://trickest.io/,3.125.5.102,httpx,0,"cloud-amazon,dir,http-title-trickest-platform,in-scope,ip-3-125-5-102,status-200"
OPEN_TCP_PORT,docs.trickest.io:8080,"104.18.40.47,2606:4700:4400::ac40:93d1,2606:4700:4400::6812:282f,172.64.147.209",nmap,0,"cdn-cloudflare,in-scope"
URL,http://trickest.io/,3.125.5.102,httpx,0,"cloud-amazon,dir,http-title-301-moved-permanently,in-scope,ip-3-125-5-102,status-301"
ASN,"{'asn': '13335', 'subnet': '104.16.0.0/12', 'name': 'CLOUDFLARENET', 'description': 'Cloudflare, Inc.', 'country': 'US'}",,asn,2,distance-2
ASN,"{'asn': '13335', 'subnet': '104.18.32.0/20', 'name': 'CLOUDFLARENET', 'description': 'Cloudflare, Inc.', 'country': 'US'}",,asn,2,distance-2
OPEN_TCP_PORT,docs.trickest.io:2086,"104.18.40.47,2606:4700:4400::ac40:93d1,2606:4700:4400::6812:282f,172.64.147.209",internetdb,0,"cdn-cloudflare,in-scope"
OPEN_TCP_PORT,docs.trickest.io:443,"104.18.40.47,2606:4700:4400::ac40:93d1,2606:4700:4400::6812:282f,172.64.147.209",nmap,0,"cdn-cloudflare,in-scope"
URL,https://docs.trickest.io:8443/,104.18.40.47,httpx,0,"cdn-cloudflare,dir,in-scope,ip-104-18-40-47,status-302"
URL,https://docs.trickest.io:2053/,104.18.40.47,httpx,0,"cdn-cloudflare,dir,in-scope,ip-104-18-40-47,status-302"
URL,https://docs.trickest.io:2087/,104.18.40.47,httpx,0,"cdn-cloudflare,dir,in-scope,ip-104-18-40-47,status-302"
URL,https://docs.trickest.io:2083/,104.18.40.47,httpx,0,"cdn-cloudflare,dir,in-scope,ip-104-18-40-47,status-302"
URL,http://docs.trickest.io:2082/,172.64.147.209,httpx,0,"cdn-cloudflare,dir,in-scope,ip-172-64-147-209,status-301"
URL,http://docs.trickest.io:8880/,172.64.147.209,httpx,0,"cdn-cloudflare,dir,in-scope,ip-172-64-147-209,status-301"
OPEN_TCP_PORT,hive-api.trickest.io:443,"3.75.48.100,35.158.162.39,3.125.5.102",nmap,0,"cloud-amazon,in-scope"
OPEN_TCP_PORT,hive-api.trickest.io:80,"3.75.48.100,35.158.162.39,3.125.5.102",nmap,0,"cloud-amazon,in-scope"
URL,https://docs.trickest.io/,172.64.147.209,httpx,0,"cdn-cloudflare,dir,in-scope,ip-172-64-147-209,status-302"
URL,https://docs.trickest.io:2096/,172.64.147.209,httpx,0,"cdn-cloudflare,dir,in-scope,ip-172-64-147-209,status-302"
URL,http://docs.trickest.io:2086/,172.64.147.209,httpx,0,"cdn-cloudflare,dir,in-scope,ip-172-64-147-209,status-301"
URL,http://docs.trickest.io:8080/,172.64.147.209,httpx,0,"cdn-cloudflare,dir,in-scope,ip-172-64-147-209,status-301"
URL,http://docs.trickest.io/,172.64.147.209,httpx,0,"cdn-cloudflare,dir,in-scope,ip-172-64-147-209,status-301"
URL,https://hive-api.trickest.io/,3.75.48.100,httpx,0,"cloud-amazon,dir,http-title-not-found,in-scope,ip-3-75-48-100,status-404"
DNS_NAME,google-analytics.com,"2a00:1450:4002:415::2004,216.58.204.228",httpx->excavate,1,"a-record,aaaa-record,affiliate,distance-1,domain,resolved"
DNS_NAME,cdnjs.cloudflare.com,"2606:4700::6811:190e,104.17.24.14,104.17.25.14,2606:4700::6811:180e",httpx->excavate,1,"a-record,aaaa-record,affiliate,cdn-cloudflare,distance-1,resolved,subdomain"
DNS_NAME,iframe.ly,"76.223.3.34,13.248.132.76",httpx->excavate,1,"a-record,affiliate,cloud-amazon,distance-1,domain,mx-record,ns-record,resolved,soa-record,txt-record"
DNS_NAME,intercom-attachments-3.com,"2600:9000:25ea:bc00:19:1477:f380:93a1,2600:9000:25ea:e400:19:1477:f380:93a1,108.157.194.46,2600:9000:25ea:c800:19:1477:f380:93a1,2600:9000:25ea:2400:19:1477:f380:93a1,108.157.194.24,2600:9000:25ea:ac00:19:1477:f380:93a1,2600:9000:25ea:ca00:19:1477:f380:93a1,108.157.194.117,2600:9000:25ea:2000:19:1477:f380:93a1,108.157.194.63,2600:9000:25ea:3e00:19:1477:f380:93a1",httpx->excavate,1,"a-record,aaaa-record,affiliate,cloud-amazon,distance-1,domain,ns-record,resolved,soa-record,txt-record"
DNS_NAME,app.intercom.io,"34.225.65.23,44.195.225.103,44.213.135.158,52.203.146.88,18.233.206.138,3.215.46.160",httpx->excavate,1,"a-record,affiliate,cloud-amazon,distance-1,resolved,subdomain"
URL,http://hive-api.trickest.io/,3.75.48.100,httpx,0,"cloud-amazon,dir,http-title-301-moved-permanently,in-scope,ip-3-75-48-100,status-301"
DNS_NAME,algolianet.com,"104.18.120.11,104.18.119.11",httpx->excavate,1,"a-record,affiliate,cdn-cloudflare,distance-1,domain,ns-record,resolved,soa-record,txt-record"
DNS_NAME,google.com,"2a00:1450:4002:416::200e,216.58.205.46",httpx->excavate,1,"a-record,aaaa-record,affiliate,distance-1,domain,mx-record,ns-record,resolved,soa-record,txt-error"
DNS_NAME,cdn.amplitude.com,"108.138.198.193,108.138.198.143,108.138.198.2,108.138.198.31",httpx->excavate,1,"a-record,affiliate,cloud-amazon,distance-1,resolved,subdomain"
DNS_NAME,js.sentry-cdn.com,"151.101.130.217,151.101.194.217,151.101.2.217,2a04:4e42:400::729,2a04:4e42:600::729,2a04:4e42::729,2a04:4e42:200::729,151.101.66.217",httpx->excavate,1,"a-record,aaaa-record,affiliate,distance-1,resolved,subdomain"
DNS_NAME,intercomcdn.com,"18.66.196.106,18.66.196.65,18.66.196.93,18.66.196.86",httpx->excavate,1,"a-record,affiliate,cloud-amazon,distance-1,domain,ns-record,resolved,soa-record,txt-record"
URL,https://docs.trickest.io/trickest-documentation/,172.64.147.209,httpx->excavate->httpx,0,"cdn-cloudflare,dir,in-scope,ip-172-64-147-209,status-302"
DNS_NAME,static.cloudflareinsights.com,"104.16.57.101,2606:4700::6810:3865,2606:4700::6810:3965,104.16.56.101",httpx->excavate,1,"a-record,aaaa-record,affiliate,cdn-cloudflare,distance-1,resolved,subdomain"
DNS_NAME,cloudflareinsights.com,"104.16.57.101,2606:4700::6810:3865,2606:4700::6810:3965,104.16.56.101",httpx->excavate,1,"a-record,aaaa-record,affiliate,cdn-cloudflare,distance-1,domain,ns-record,resolved,soa-record"
DNS_NAME,intercom.help,"54.90.116.238,44.220.103.197,18.205.193.125,3.229.158.70,52.73.92.250,52.22.163.168,34.197.68.212,54.152.192.138",httpx->excavate,1,"a-record,affiliate,cloud-amazon,distance-1,domain,mx-record,ns-record,resolved,soa-record,txt-record"
DNS_NAME,intercom-attachments-5.com,"2600:9000:25ea:3400:19:1477:f380:93a1,2600:9000:25ea:ec00:19:1477:f380:93a1,2600:9000:25ea:3000:19:1477:f380:93a1,108.157.194.46,2600:9000:25ea:7600:19:1477:f380:93a1,2600:9000:25ea:f800:19:1477:f380:93a1,108.157.194.24,2600:9000:25ea:7800:19:1477:f380:93a1,108.157.194.117,2600:9000:25ea:200:19:1477:f380:93a1,2600:9000:25ea:3a00:19:1477:f380:93a1,108.157.194.63",httpx->excavate,1,"a-record,aaaa-record,affiliate,cloud-amazon,distance-1,domain,ns-record,resolved,soa-record,txt-record"
DNS_NAME,widget.intercom.io,"108.138.199.95,108.138.199.116,108.138.199.32,108.138.199.128",httpx->excavate,1,"a-record,affiliate,cloud-amazon,distance-1,resolved,subdomain"
DNS_NAME,www.googletagmanager.com,"2a00:1450:4002:414::2008,216.58.204.136",httpx->excavate,1,"a-record,aaaa-record,affiliate,distance-1,resolved,subdomain"
DNS_NAME,ampcid.google.com,"142.251.209.14,2a00:1450:4002:411::200e",httpx->excavate,1,"a-record,aaaa-record,affiliate,distance-1,resolved,subdomain"
DNS_NAME,js.intercomcdn.com,"108.138.189.102,108.138.189.24,108.138.189.116,108.138.189.64",httpx->excavate,1,"a-record,affiliate,cloud-amazon,distance-1,resolved,subdomain"
