Event type,Event data,IP Address,Source Module,Scope Distance,Event Tags
SCAN,imaginary_bombadil (SCAN:77e83488dddf2527466f77774cea3b72545b017b),,TARGET,0,in-scope
DNS_NAME,trickest.com,75.2.60.5,TARGET,0,"a-record,cloud-amazon,domain,in-scope,mx-record,ns-record,resolved,soa-record,target,txt-record"
ORG_STUB,trickest,,speculate,1,distance-1
DNS_NAME,www.trickest.com,75.2.60.5,leakix,0,"a-record,cloud-amazon,in-scope,resolved,subdomain"
SOCIAL,"{'platform': 'github', 'profile_name': 'trickest', 'url': 'https://github.com/trickest'}",,github_org,1,"distance-1,github-org"
DNS_NAME,trail.trickest.com,141.95.205.206,leakix,0,"a-record,cname-record,in-scope,resolved,subdomain"
DNS_NAME,bot.trickest.com,"2a05:d014:58f:6200::64,2a05:d014:275:cb01::c8,3.70.101.28,3.72.140.173",leakix,0,"a-record,aaaa-record,cloud-amazon,cname-record,in-scope,resolved,subdomain"
DNS_NAME,beta.trickest.com,,columbus,0,"in-scope,ns-record,resolved,soa-record,subdomain"
DNS_NAME,login.windows.net,"2603:1026:3000:108::4,2603:1026:3000:118::1,2603:1026:3000:110::5,20.190.177.22,20.190.177.83,2603:1026:3000:110::3,2603:1026:3000:108::6,20.190.177.23,20.190.177.149,20.190.177.85,20.190.177.148,20.190.177.21,20.190.177.82,2603:1026:3000:108::7,2603:1026:3000:110::4,2603:1026:3000:108::3",oauth->host,1,"a-record,aaaa-record,affiliate,cloud-azure,distance-1,resolved,subdomain"
ASN,"{'asn': '16509', 'subnet': '75.2.48.0/20', 'name': 'AMAZON-02', 'description': 'Amazon.com, Inc.', 'country': 'US'}",,asn,2,distance-2
CODE_REPOSITORY,{'url': 'https://github.com/trickest/mgwls'},140.82.121.3,github_org,1,"cdn-github,distance-1"
CODE_REPOSITORY,{'url': 'https://github.com/trickest/cloud'},140.82.121.3,github_org,1,"cdn-github,distance-1"
CODE_REPOSITORY,{'url': 'https://github.com/trickest/mksub'},140.82.121.3,github_org,1,"cdn-github,distance-1"
ASN,"{'asn': '16509', 'subnet': '3.64.0.0/12', 'name': 'AMAZON-02', 'description': 'Amazon.com, Inc.', 'country': 'US'}",,asn,2,distance-2
CODE_REPOSITORY,{'url': 'https://github.com/trickest/vault-k8s'},140.82.121.3,github_org,1,"cdn-github,distance-1"
CODE_REPOSITORY,{'url': 'https://github.com/trickest/containers'},140.82.121.3,github_org,1,"cdn-github,distance-1"
CODE_REPOSITORY,{'url': 'https://github.com/trickest/insiders'},140.82.121.3,github_org,1,"cdn-github,distance-1"
CODE_REPOSITORY,{'url': 'https://github.com/trickest/action'},140.82.121.3,github_org,1,"cdn-github,distance-1"
CODE_REPOSITORY,{'url': 'https://github.com/trickest/inventory'},140.82.121.3,github_org,1,"cdn-github,distance-1"
CODE_REPOSITORY,{'url': 'https://github.com/trickest/cve'},140.82.121.3,github_org,1,"cdn-github,distance-1"
CODE_REPOSITORY,{'url': 'https://github.com/trickest/trickest-cli'},140.82.121.3,github_org,1,"cdn-github,distance-1"
CODE_REPOSITORY,{'url': 'https://github.com/trickest/zip'},140.82.121.3,github_org,1,"cdn-github,distance-1"
CODE_REPOSITORY,{'url': 'https://github.com/trickest/enumerepo'},140.82.121.3,github_org,1,"cdn-github,distance-1"
CODE_REPOSITORY,{'url': 'https://github.com/trickest/wordlists'},140.82.121.3,github_org,1,"cdn-github,distance-1"
CODE_REPOSITORY,{'url': 'https://github.com/trickest/scripts'},140.82.121.3,github_org,1,"cdn-github,distance-1"
ASN,"{'asn': '16509', 'subnet': '2a05:d014::/36', 'name': 'AMAZON-02', 'description': 'Amazon.com, Inc.', 'country': 'US'}",,asn,2,distance-2
CODE_REPOSITORY,{'url': 'https://github.com/trickest/mkpath'},140.82.121.3,github_org,1,"cdn-github,distance-1"
ASN,"{'asn': '16509', 'subnet': '2a05:d014::/35', 'name': 'AMAZON-02', 'description': 'Amazon.com, Inc.', 'country': 'US'}",,asn,2,distance-2
CODE_REPOSITORY,{'url': 'https://github.com/trickest/recon-and-vulnerability-scanner-template'},140.82.121.3,github_org,1,"cdn-github,distance-1"
CODE_REPOSITORY,{'url': 'https://github.com/trickest/packages'},140.82.121.3,github_org,1,"cdn-github,distance-1"
CODE_REPOSITORY,{'url': 'https://github.com/trickest/github-logs'},140.82.121.3,github_org,1,"cdn-github,distance-1"
CODE_REPOSITORY,{'url': 'https://github.com/trickest/s5cmd'},140.82.121.3,github_org,1,"cdn-github,distance-1"
CODE_REPOSITORY,{'url': 'https://github.com/trickest/resolvers'},140.82.121.3,github_org,1,"cdn-github,distance-1"
CODE_REPOSITORY,{'url': 'https://github.com/trickest/dsieve'},140.82.121.3,github_org,1,"cdn-github,distance-1"
CODE_REPOSITORY,{'url': 'https://github.com/trickest/find-gh-poc'},140.82.121.3,github_org,1,"cdn-github,distance-1"
CODE_REPOSITORY,{'url': 'https://github.com/trickest/safe-harbour'},140.82.121.3,github_org,1,"cdn-github,distance-1"
CODE_REPOSITORY,{'url': 'https://github.com/trickest/elasticsearch_index'},140.82.121.3,github_org,1,"cdn-github,distance-1"
ASN,"{'asn': '16509', 'subnet': '2a05:d014::/38', 'name': 'AMAZON-02', 'description': 'Amazon.com, Inc.', 'country': 'US'}",,asn,2,distance-2
CODE_REPOSITORY,{'url': 'https://github.com/trickest/trickest-agent-init'},140.82.121.3,github_org,1,"cdn-github,distance-1"
CODE_REPOSITORY,{'url': 'https://github.com/trickest/log4j'},140.82.121.3,github_org,1,"cdn-github,distance-1"
